epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4272,1.16229,1.46972,1.12649,0.62766,0.59496,0.71089,0.48603,1.40869,1.65938,1.34664,0.0670629,0.000332698,0.000332698
2,145.139,1.03371,0.80871,1.06979,0.82305,0.8706,0.90824,0.67777,1.29124,0.85898,1.28309,0.0340627,0.000665869,0.000665869
3,211.019,0.93876,0.66349,1.03746,0.81763,0.82842,0.90598,0.68055,1.26445,0.83414,1.27447,0.00106188,0.000998389,0.000998389
4,276.385,0.87979,0.59688,1.0144,0.84024,0.91387,0.92805,0.72529,1.22304,0.71544,1.26863,0.000997803,0.000997803,0.000997803
5,342.822,0.82351,0.54367,0.99478,0.84457,0.90521,0.92489,0.72775,1.19298,0.67114,1.29106,0.000996097,0.000996097,0.000996097
6,408.668,0.77904,0.50466,0.97885,0.86751,0.91169,0.9382,0.74597,1.16708,0.64597,1.26561,0.000993906,0.000993906,0.000993906
7,474.346,0.74684,0.47943,0.96642,0.86965,0.90892,0.92793,0.74557,1.18983,0.61505,1.30683,0.000991232,0.000991232,0.000991232
8,540.216,0.72538,0.46355,0.9609,0.86965,0.90114,0.93148,0.75053,1.16372,0.61851,1.27471,0.000988079,0.000988079,0.000988079
9,605.969,0.70436,0.44592,0.95173,0.87385,0.91322,0.93431,0.76046,1.13796,0.5961,1.27456,0.000984449,0.000984449,0.000984449
10,671.879,0.68101,0.42996,0.94295,0.84362,0.94115,0.93351,0.76048,1.14888,0.57346,1.29116,0.000980345,0.000980345,0.000980345
11,737.676,0.66893,0.42276,0.93864,0.88319,0.8985,0.92523,0.75751,1.14178,0.58853,1.30314,0.000975773,0.000975773,0.000975773
12,803.378,0.65059,0.41101,0.93252,0.89922,0.90771,0.93453,0.77504,1.12099,0.57603,1.28135,0.000970736,0.000970736,0.000970736
